product_id,store_id,date,stock_on_hand,reorder_point
SAI-D001,SBY-LON-001,2024-10-01,154.06,60
SAI-D001,SBY-LON-001,2024-10-02,67.41,60
SAI-D001,SBY-LON-001,2024-10-03,220.71,60
SAI-D001,SBY-LON-001,2024-10-04,129.75,60
SAI-D001,SBY-LON-001,2024-10-05,286.36,60
SAI-D001,SBY-LON-001,2024-10-06,163.06,60
SAI-D001,SBY-LON-001,2024-10-07,124.88,60
SAI-D001,SBY-LON-001,2024-10-08,67.92,60
SAI-D001,SBY-LON-001,2024-10-09,0.0,60
SAI-D001,SBY-LON-001,2024-10-10,210.79,60
SAI-D001,SBY-LON-001,2024-10-11,99.56,60
SAI-D001,SBY-LON-001,2024-10-12,246.09,60
SAI-D001,SBY-LON-001,2024-10-13,171.64,60
SAI-D001,SBY-LON-001,2024-10-14,103.0,60
SAI-D001,SBY-LON-001,2024-10-15,278.76,60
SAI-D001,SBY-LON-001,2024-10-16,190.39,60
SAI-D001,SBY-LON-001,2024-10-17,118.06,60
SAI-D001,SBY-LON-001,2024-10-18,295.91,60
SAI-D001,SBY-LON-001,2024-10-19,171.61,60
SAI-D001,SBY-LON-001,2024-10-20,83.68,60
SAI-D001,SBY-LON-001,2024-10-21,252.77,60
SAI-D001,SBY-LON-001,2024-10-22,159.0,60
SAI-D001,SBY-LON-001,2024-10-23,103.0,60
SAI-D001,SBY-LON-001,2024-10-24,221.3,60
SAI-D001,SBY-LON-001,2024-10-25,111.12,60
SAI-D001,SBY-LON-001,2024-10-26,209.26,60
SAI-D001,SBY-LON-001,2024-10-27,226.99,60
SAI-D001,SBY-LON-001,2024-10-28,174.7,60
SAI-D001,SBY-LON-001,2024-10-29,104.63,60
SAI-D001,SBY-LON-001,2024-10-30,225.17,60
SAI-D001,SBY-LON-001,2024-10-31,93.32,60
SAI-D001,SBY-LON-001,2024-11-01,0.0,60
SAI-D001,SBY-LON-001,2024-11-02,290.66,60
SAI-D001,SBY-LON-001,2024-11-03,187.12,60
SAI-D001,SBY-LON-001,2024-11-04,117.44,60
SAI-D001,SBY-LON-001,2024-11-05,12.9,60
SAI-D001,SBY-LON-001,2024-11-06,0.0,60
SAI-D001,SBY-LON-001,2024-11-07,0.0,60
SAI-D001,SBY-LON-001,2024-11-08,181.15,60
SAI-D001,SBY-LON-001,2024-11-09,60.51,60
SAI-D001,SBY-LON-001,2024-11-10,241.94,60
SAI-D001,SBY-LON-001,2024-11-11,162.38,60
SAI-D001,SBY-LON-001,2024-11-12,71.35,60
SAI-D001,SBY-LON-001,2024-11-13,264.64,60
SAI-D001,SBY-LON-001,2024-11-14,178.06,60
SAI-D001,SBY-LON-001,2024-11-15,81.33,60
SAI-D001,SBY-LON-001,2024-11-16,151.93,60
SAI-D001,SBY-LON-001,2024-11-17,38.65,60
SAI-D001,SBY-LON-001,2024-11-18,204.95,60
SAI-D001,SBY-LON-001,2024-11-19,93.93,60
