product_id,date,units_sold,is_promotion,uk_event,stock_on_hand,day_of_week,week_of_year,month,is_weekend,is_bank_holiday,is_month_end,event_multiplier,is_nectar_week,is_christmas_period,product_name,category,tier,unit_price,reorder_point,lead_time_days,sales_velocity_3d,sales_velocity_7d,sales_velocity_14d,sales_velocity_30d,sales_std_7d,stock_to_sales_ratio,days_of_cover,velocity_trend,sales_acceleration,stock_depletion_7d,promo_days_last_7,days_since_restock,stockout_24h,stockout_72h
SAI-B001,2024-10-01,106.43,1,Normal,154.66,1,40,10,0,0,0,1.0,1,0,Sainsbury's Medium Sliced White Bread 800g,Fresh Bakery,Sainsbury's,1.1,70,1,106.43,106.43,106.43,106.43,0.0,1.4531616888737977,1.4531616888737977,0.0,106.43,-0.0,1.0,0,0,1
SAI-B001,2024-10-02,81.55,0,Normal,73.11,2,40,10,0,0,0,1.0,1,0,Sainsbury's Medium Sliced White Bread 800g,Fresh Bakery,Sainsbury's,1.1,70,1,93.99000000000001,93.99000000000001,93.99000000000001,93.99000000000001,17.592816715921312,0.7778486990334216,0.7778486990334216,0.0,93.99000000000001,-0.0,1.0,1,1,1
SAI-B001,2024-10-03,75.26,0,Normal,220.61,3,40,10,0,0,0,1.0,1,0,Sainsbury's Medium Sliced White Bread 800g,Fresh Bakery,Sainsbury's,1.1,70,1,87.74666666666667,87.74666666666667,87.74666666666667,87.74666666666667,16.483058979853634,2.5141695504387305,2.5141695504387305,0.0,87.74666666666667,-0.0,1.0,0,0,1
SAI-B001,2024-10-04,132.58,0,Normal,88.03,4,40,10,0,0,0,1.0,1,0,Sainsbury's Medium Sliced White Bread 800g,Fresh Bakery,Sainsbury's,1.1,70,1,96.46333333333332,98.95500000000001,98.95500000000001,98.95500000000001,26.146403831757315,0.8895962721479836,0.8895962721479836,0.0,98.95500000000001,-0.0,1.0,1,1,1
SAI-B001,2024-10-05,106.8,0,Normal,0.0,5,40,10,1,0,0,1.0,1,0,Sainsbury's Medium Sliced White Bread 800g,Fresh Bakery,Sainsbury's,1.1,70,1,104.88,100.524,100.524,100.524,22.913634150871836,0.0,0.0,0.0,100.524,-0.0,1.0,2,1,1
SAI-B001,2024-10-06,92.26,0,Normal,298.7,6,40,10,1,0,0,1.0,1,0,Sainsbury's Medium Sliced White Bread 800g,Fresh Bakery,Sainsbury's,1.1,70,1,110.54666666666667,99.14666666666666,99.14666666666666,99.14666666666666,20.770411326371626,3.012708415014372,3.012708415014372,0.0,99.14666666666666,-0.0,1.0,0,0,0
SAI-B001,2024-10-07,89.05,0,Normal,209.65,0,41,10,0,0,0,1.0,0,0,Sainsbury's Medium Sliced White Bread 800g,Fresh Bakery,Sainsbury's,1.1,70,1,96.03666666666668,97.70428571428572,97.70428571428572,97.70428571428572,19.34092970631872,2.1457605090867142,2.1457605090867142,0.0,97.70428571428572,-0.0,1.0,1,0,1
SAI-B001,2024-10-08,72.31,0,Normal,137.34,1,41,10,0,0,0,1.0,0,0,Sainsbury's Medium Sliced White Bread 800g,Fresh Bakery,Sainsbury's,1.1,70,1,84.54,92.83,94.53,94.53,21.003374332076582,1.479478600888952,1.479478600888952,-0.017983708685245892,-13.600000000000009,17.319999999999993,0.0,2,0,1
SAI-B001,2024-10-09,66.22,0,Normal,71.12,2,41,10,0,0,0,1.0,0,0,Sainsbury's Medium Sliced White Bread 800g,Fresh Bakery,Sainsbury's,1.1,70,1,75.86,90.64,91.38444444444445,91.38444444444445,23.07282456339781,0.7846425332674037,0.7846425332674037,-0.008146292739687587,-3.3500000000000085,1.9899999999999949,0.0,3,1,1
SAI-B001,2024-10-10,93.66,0,Normal,186.64,3,41,10,0,0,0,1.0,0,0,Sainsbury's Medium Sliced White Bread 800g,Fresh Bakery,Sainsbury's,1.1,70,1,77.39666666666666,93.26857142857143,91.612,91.612,22.054257660424234,2.0011027845733986,2.0011027845733986,0.018082471843087887,5.521904761904764,33.97000000000003,0.0,0,0,1
